ID,TITLE,NAME,ORIG_NAME,AUTHOR,DESCRIPTION,RATING,STATUS,DOC_TYPE,FILE_SIZE,ORIGINAL_PATH,FILE_CREATION_TIME,FILE_LAST_WRITE_TIME,CREATED_BY,CREATED_ON,OCR,TAG,TAG1,TAG2,TAG3,TAG4,TAG5
"3C-8A-4F-7D-A8-A3-02-D2-DD-7A-76-84-31-02-87-3F-69-27-5D-09","The Image of the Black in Jewish Culture","black_in_jewish_culture.pdf","BLACK_IN_JEWISH_culture.pdf","abraham melamed","","1","PENDING",".pdf","2289315","D:\AlexLibrary_v1\FinalLibrary\abraham melamed","01/25/2022","11/18/2021","abraham melamed","11/23/2022","","Social Science","Abraham Melamed","Routledge","9/2/2003 0:00","9.78E+12",""
"7D-0D-B2-BD-5F-B9-A4-6C-82-D8-6D-35-16-5C-D7-B4-7A-EC-6B-C3","GitHub Essentials","github_essentials.pdf","GitHub_Essentials.pdf","achilleas pipinellis","","1","PENDING",".pdf","8962851","D:\AlexLibrary_v1\FinalLibrary\achilleas pipinellis","01/25/2022","11/18/2021","achilleas pipinellis","11/23/2022","","Computers","Achilleas Pipinellis","Packt Publishing Ltd","9/30/2015 0:00","9.78E+12",""
"DC-86-3E-CC-DC-6B-80-86-00-B0-CA-30-AA-73-8B-B4-9C-26-24-6C","Napoleon's Campaign in Russia, Anno 1812","achilles_rose_napoleon's_campaign_in_russia.pdf","Achilles_Rose_Napoleon'S_Campaign_In_Russia.pdf","achilles rose","","1","PENDING",".pdf","240392","D:\AlexLibrary_v1\FinalLibrary\achilles rose","01/25/2022","11/18/2021","achilles rose","11/23/2022","","History","Achilles Rose","","","9.78E+12",""
"6E-80-6F-D4-99-BC-D9-4C-DC-78-15-47-25-BF-6B-E0-47-F9-00-A5","HitlerÃ¢â‚¬â„¢s Bounty Hunters","hitlers_bounty_hunters.pdf","Hitlers_Bounty_Hunters.pdf","ad van liempt","","1","PENDING",".pdf","1070181","D:\AlexLibrary_v1\FinalLibrary\ad van liempt","01/25/2022","11/18/2021","ad van liempt","11/23/2022","","History","Ad van Liempt","","","9.78E+12",""
"9E-80-8E-2F-84-65-48-EC-C5-D2-F1-62-4B-1A-27-F9-6F-FE-A2-BD","The Dead Sea Deception","dead_sea_deception.mobi","Dead_Sea_Deception.mobi","adam blake","","1","PENDING",".mobi","757063","D:\AlexLibrary_v1\FinalLibrary\adam blake","01/25/2022","11/18/2021","adam blake","11/23/2022","","Fiction","Adam Blake","","8/18/2011 0:00","9.78E+12",""
"83-A2-00-EF-7C-89-11-A9-E8-49-38-2F-D1-AB-6F-E6-77-2B-2C-C9","The Demon Code","the_demon_code.mobi","The_Demon_Code.mobi","adam blake","","1","PENDING",".mobi","701377","D:\AlexLibrary_v1\FinalLibrary\adam blake","01/25/2022","11/18/2021","adam blake","11/23/2022","","Fiction","Adam Blake","","8/16/2012 0:00","9.78E+12",""
"0A-75-21-2E-3A-64-ED-A7-86-6F-15-7B-99-BE-62-8C-E7-0D-D1-60","Pro Angular Learn to harness the power of modern web browsers from within your applicationÃ¢â‚¬â„¢s code Ã¢â‚¬â€ Second Edition","2017_pro_angular_2nd_edition.pdf","2017_Pro_Angular_2nd_Edition.pdf","adam freeman","","1","PENDING",".pdf","16793274","D:\AlexLibrary_v1\FinalLibrary\adam freeman","01/25/2022","11/18/2021","adam freeman","11/23/2022","","Computers","Adam Freeman","","","9.78E+12",""
"2F-48-50-C8-31-22-A7-2A-E1-1C-4C-CB-83-53-56-E4-52-C8-DF-4B","","essential docker for asp.net core mvc.pdf","essential docker for asp.net core mvc.pdf","adam freeman","","1","PENDING",".pdf","3261121","D:\AlexLibrary_v1\FinalLibrary\adam freeman","05/02/2022","05/02/2022","adam freeman","11/23/2022","","","","","","",""
"BB-4E-AC-5B-DD-F8-77-C4-70-6F-A9-50-F6-C8-4B-66-C3-A1-4F-B5","Essential Angular for ASP.NET Core MVC","essentialangularforasp.netcoremvc.pdf","EssentialAngularforASP.NETCoreMVC.pdf","adam freeman","","1","PENDING",".pdf","8116571","D:\AlexLibrary_v1\FinalLibrary\adam freeman","01/25/2022","11/18/2021","adam freeman","11/23/2022","","Computers","Adam Freeman","Apress","7/26/2017 0:00","9.78E+12",""
"9D-1C-93-37-BB-C3-FE-E6-9D-CE-69-3E-99-FE-4E-9A-DB-52-B0-B9","Essential Angular for ASP.NET Core MVC 3","essentialangularforasp.netcoremvc32ndedition.pdf","EssentialAngularforASP.NETCoreMVC32ndEdition.pdf","adam freeman","","1","PENDING",".pdf","11395128","D:\AlexLibrary_v1\FinalLibrary\adam freeman","01/25/2022","11/18/2021","adam freeman","11/23/2022","","Computers","Adam Freeman","Apress","10/23/2019 0:00","9.78E+12",""
"2F-4C-E0-3E-59-20-FC-FF-DE-C0-DF-98-38-20-A7-B7-16-F4-57-9D","Essential Docker for ASP.NET Core MVC","essentialdockerforasp.netcoremvc.pdf","EssentialDockerforASP.NETCoreMVC.pdf","adam freeman","","1","PENDING",".pdf","3284901","D:\AlexLibrary_v1\FinalLibrary\adam freeman","01/25/2022","11/18/2021","adam freeman","11/23/2022","","Computers","Adam Freeman","John Wiley & Sons","3/7/2018 0:00","9.78E+12",""
"05-82-EF-CE-16-67-25-49-27-74-5B-3A-43-6F-5D-77-58-57-BC-80","Essential TypeScript","essential_typescript.pdf","Essential_TypeScript.pdf","adam freeman","","1","PENDING",".pdf","10839947","D:\AlexLibrary_v1\FinalLibrary\adam freeman","01/25/2022","11/18/2021","adam freeman","11/23/2022","","Computers","Adam Freeman","Apress","8/14/2019 0:00","9.78E+12",""
"95-7A-AD-9E-2F-1D-D3-BE-8E-47-8D-EF-C2-44-C3-65-5F-85-4D-01","Pro Angular 6","proangular63rdedition.pdf","ProAngular63rdEdition.pdf","adam freeman","","1","PENDING",".pdf","19403051","D:\AlexLibrary_v1\FinalLibrary\adam freeman","01/25/2022","11/18/2021","adam freeman","11/23/2022","","Computers","Adam Freeman","Apress","10/10/2018 0:00","9.78E+12",""
"71-8E-A2-86-E3-0E-A2-17-8D-53-16-4D-D1-B0-CA-53-2F-53-4F-87","Pro ASP.NET Core 3 Develop Cloud-Ready Web Applications Using MVC, Blazor, and Razor Pages Ã¢â‚¬â€ Eighth Edition","proasp.netcore38th.edition.pdf","ProASP.NETCore38th.Edition.pdf","adam freeman","","1","PENDING",".pdf","40253913","D:\AlexLibrary_v1\FinalLibrary\adam freeman","01/25/2022","11/18/2021","adam freeman","11/23/2022","","Computers","Adam Freeman","","","9.78E+12",""
"86-34-3D-54-E1-7F-90-C6-8B-66-C4-18-9E-93-23-E2-B0-48-87-11","Pro ASP.NET Core MVC Develop cloud-ready web applications using MicrosoftÃ¢â‚¬â„¢s latest framework, ASP.NET Core MVC Ã¢â‚¬â€ Sixth Edition","proasp.netcoremvc6thedition.pdf","ProASP.NETCoreMVC6thEdition.pdf","adam freeman","","1","PENDING",".pdf","33102944","D:\AlexLibrary_v1\FinalLibrary\adam freeman","01/25/2022","11/18/2021","adam freeman","11/23/2022","","Computers","Adam Freeman","","","9.78E+12",""
"EF-F1-56-19-51-4D-E5-39-31-33-E1-C3-89-52-4C-EE-B9-00-21-07","Pro Entity Framework Core 2 for ASP.NET Core MVC","proentityframeworkcore2forasp.netcoremvc.pdf","ProEntityFrameworkCore2forASP.NETCoreMVC.pdf","adam freeman","","1","PENDING",".pdf","17352885","D:\AlexLibrary_v1\FinalLibrary\adam freeman","01/25/2022","11/18/2021","adam freeman","11/23/2022","","Computers","Adam Freeman","Apress","4/18/2018 0:00","9.78E+12",""
"73-C2-F4-FD-BD-ED-17-6F-B5-3F-3F-3A-DC-16-7C-7C-5A-C1-5D-4F","Pro ASP.NET Core MVC 2 Develop cloud-ready web applications using Microsof tÃ¢â‚¬â„¢s latest framework, ASP.NET Core MVC 2","pro_asp.net_core_mvc_2_7th_edition.pdf","Pro_ASP.NET_Core_MVC_2_7th_Edition.pdf","adam freeman","","1","PENDING",".pdf","23068574","D:\AlexLibrary_v1\FinalLibrary\adam freeman","01/25/2022","11/18/2021","adam freeman","11/23/2022","","Computers","Adam Freeman","","","9.78E+12",""
"1B-3C-2C-CB-94-CC-17-9A-0C-99-4A-2C-30-DC-16-A7-6D-59-7F-03","Essential Angular for ASP.NET Core MVC 3","essentialangularforasp.netcoremvc32ed.mobi","EssentialAngularforASP.NETCoreMVC32Ed.mobi","adam freeman","","1","PENDING",".mobi","15555816","D:\AlexLibrary_v1\FinalLibrary\adam freeman","01/25/2022","11/18/2021","adam freeman","11/23/2022","","Computers","Adam Freeman","","10/23/2019 0:00","9.78E+12",""
"16-61-77-16-05-67-E4-8A-C4-15-99-F9-DE-5F-67-11-B9-F4-D2-E8","Essential TypeScript","essential_typescript.mobi","Essential_TypeScript.mobi","adam freeman","","1","PENDING",".mobi","9875157","D:\AlexLibrary_v1\FinalLibrary\adam freeman","01/25/2022","11/18/2021","adam freeman","11/23/2022","","Computers","Adam Freeman","","8/14/2019 0:00","9.78E+12",""
"A4-DC-82-90-3B-8F-50-23-DB-1F-29-A3-5D-49-07-35-12-E2-FA-D5","Pro ASP.NET Core 3 Develop Cloud-Ready Web Applications Using MVC, Blazor, and Razor Pages Ã¢â‚¬â€ Eighth Edition","proasp.netcore38th.edition.mobi","ProASP.NETCore38th.Edition.mobi","adam freeman","","1","PENDING",".mobi","50282567","D:\AlexLibrary_v1\FinalLibrary\adam freeman","01/25/2022","11/18/2021","adam freeman","11/23/2022","","Computers","Adam Freeman","","","9.78E+12",""
"69-24-16-70-21-CD-EE-D6-43-47-42-09-62-21-49-21-C9-1C-6A-02","A Tale Dark and Grimm","a_tale_dark_and_grimm.mobi","A_Tale_Dark_and_Grimm.mobi","adam gidwitz","","1","PENDING",".mobi","634775","D:\AlexLibrary_v1\FinalLibrary\adam gidwitz","01/25/2022","11/18/2021","adam gidwitz","11/23/2022","","Juvenile Fiction","Adam Gidwitz","","10/28/2010 0:00","9.78E+12",""
"CD-76-28-2F-F9-6F-16-8C-0E-1A-5E-65-29-2E-72-72-1F-C8-F1-65","","cross platform programming with net core.pdf","cross platform programming with net core.pdf","adam robert","","1","PENDING",".pdf","46473676","D:\AlexLibrary_v1\FinalLibrary\adam robert","08/17/2022","08/17/2022","adam robert","11/23/2022","","","","","","",""
"2F-F4-04-91-45-31-63-40-9E-4C-DB-88-32-E8-8C-EE-61-99-0A-D6","The United Nations Security Council and War","the_united_nations_security_council_and_war.pdf","The_United_Nations_Security_Council_and_War.pdf","adam roberts","","1","PENDING",".pdf","3505770","D:\AlexLibrary_v1\FinalLibrary\adam roberts","01/25/2022","11/18/2021","adam roberts","11/23/2022","","Law","Adam Roberts;Jennifer Welsh","Oxford University Press","7/2/1905 0:00","9.78E+12",""
"49-5E-39-C3-4F-54-28-55-08-BD-8C-EA-9F-4C-0C-A7-6C-E0-65-59","Anticopernicus","anticopernicus_epub.mobi","Anticopernicus_epub.mobi","adam roberts","","1","PENDING",".mobi","142230","D:\AlexLibrary_v1\FinalLibrary\adam roberts","01/25/2022","11/18/2021","adam roberts","11/23/2022","","Fiction","Adam Roberts","","","9.78E+12",""
"84-A8-E2-47-3C-F1-06-70-F8-8D-29-92-FC-43-EE-0A-2D-F3-E8-5A","Gradisil","gradisil_v5.0_mobi.mobi","Gradisil_v5.0_mobi.mobi","adam roberts","","1","PENDING",".mobi","881416","D:\AlexLibrary_v1\FinalLibrary\adam roberts","01/25/2022","11/18/2021","adam roberts","11/23/2022","","Fiction","Adam Roberts","","9/9/2010 0:00","9.78E+12",""
"CD-58-7F-70-88-2E-18-67-87-5B-19-1F-8A-E8-42-ED-50-F1-D0-F6","Land Of The Headless","land_of_the_headless_v5.0_mobi.mobi","Land_of_the_Headless_v5.0_mobi.mobi","adam roberts","","1","PENDING",".mobi","519568","D:\AlexLibrary_v1\FinalLibrary\adam roberts","01/25/2022","11/18/2021","adam roberts","11/23/2022","","Fiction","Adam Roberts","","9/9/2010 0:00","9.78E+12",""
